company,fy,period,segment,segment_std,metric,value,unit,ampc_basis,source_file,source_page
LGES,2023,연간,전사,전사,매출,33745,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2023,연간,전사,전사,영업이익,2163,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2023,연간,전사,전사,영업이익_AMPC제외,1486,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2023,연간,전사,전사,EBITDA,4450,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2023,연간,전사,전사,당기순이익,1638,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2023,연간,전사,전사,AMPC,677,십억원,na,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,매출,6129,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,영업이익,157,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,영업이익_AMPC제외,-32,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,EBITDA,816,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,당기순이익,212,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,1Q,전사,전사,AMPC,189,십억원,na,251Q_LGES_business_performance_KOR.pdf,5
LGES,2024,2Q,전사,전사,매출,6162,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,2Q,전사,전사,영업이익,195,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,2Q,전사,전사,영업이익_AMPC제외,-252,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,2Q,전사,전사,EBITDA,930,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,2Q,전사,전사,당기순이익,-24,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,2Q,전사,전사,AMPC,448,십억원,na,252Q_LGES_business_performance_KOR.pdf,5
LGES,2024,3Q,전사,전사,매출,6878,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,3Q,전사,전사,영업이익,448,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,3Q,전사,전사,영업이익_AMPC제외,-18,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,3Q,전사,전사,EBITDA,1241,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,3Q,전사,전사,당기순이익,561,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,3Q,전사,전사,AMPC,466,십억원,na,25_3Q_LGES_business_performance_KOR.pdf,5
LGES,2024,4Q,전사,전사,매출,6451,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,4Q,전사,전사,영업이익,-226,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,4Q,전사,전사,영업이익_AMPC제외,-603,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,4Q,전사,전사,EBITDA,633,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,4Q,전사,전사,당기순이익,-411,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,4Q,전사,전사,AMPC,377,십억원,na,251Q_LGES_business_performance_KOR.pdf,5
LGES,2024,4Q,전사,전사,CAPEX,-3642,십억원,na,251Q_LGES_business_performance_KOR.pdf,15
LGES,2024,연간,전사,전사,매출,25620,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,영업이익,575,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,영업이익_AMPC제외,-905,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,EBITDA,3621,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,당기순이익,339,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,AMPC,1480,십억원,na,251Q_LGES_business_performance_KOR.pdf,13
LGES,2024,연간,전사,전사,CAPEX,-12547,십억원,na,251Q_LGES_business_performance_KOR.pdf,15
LGES,2025,1Q,전사,전사,매출,6265,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2025,1Q,전사,전사,매출_AMPC포함(재작성),6723,십억원,incl,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,1Q,전사,전사,영업이익,375,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2025,1Q,전사,전사,영업이익_AMPC제외,-83,십억원,excl,251Q_LGES_business_performance_KOR.pdf,13
