company,fy,period,segment_std,summary,source_file,source_page
LGES,2025,1Q,전사,"매출: 북미 및 EV 신모델향 출하는 견조하였으나, 전반적인 OEM들의 보수적 재고 정책 기조 지속으로 전분기대비 매출 소폭 하락. 영업이익: 재료비 감축, 비용 효율화를 통한 원가 절감 노력에 더해 전분기 반영된 일회성 요인 소거로 375십억원 흑자 및 20% EBITDA Margin 기록.",251Q_LGES_business_performance_KOR.pdf,5
LGES,2025,2Q,전사,"매출: 북미지역의 안정적인 EV향 판매와 ESS Site 신규 양산에도, 정책 변동에 따른 전반적인 구매심리 위축과 메탈가 하락에 따른 판가 반영으로 매출은 전분기 대비 감소. 영업이익: 북미 생산비중 확대에 따른 제품 Mix 개선효과에 더해 전사 비용 효율화 및 재료비율 개선으로 북미 생산 인센티브 제외 영업이익도 흑자 전환.",252Q_LGES_business_performance_KOR.pdf,5
LGES,2025,3Q,전사,"매출: 미국 전기차 구매보조금 종료 등으로 EV향 파우치 수요는 약세였으나, 미시간 Site ESS 생산 및 원통형 고객사 신차 출시 효과, IT 신규 모델향 출하 대응으로 매출은 전분기 대비 소폭 증가. 영업이익: 미국 ESS 생산물량 증가, 소형 신제품 양산효과, 전사 Cost 절감 지속으로, 북미 생산 보조금 감소에도 불구하고 이를 제외한 영업이익은 2,358억원으로 전분기 대비 상당폭 개선.",25_3Q_LGES_business_performance_KOR.pdf,5
LGES,2025,4Q,전사,"매출: 미국 전기차 구매보조금 종료 영향 본격화 및 고객사 연말 재고 감축으로 EV 파우치 매출은 감소했으나, 북미 ESS 판매 물량 증가에 따른 큰 폭의 매출 성장과 전략 거래선의 견조한 EV 원통형 수요로 전분기 대비 +8% 증가. 영업이익: 비용 감축 노력에도 북미 거래선 EV 판매 둔화에 따른 제품 Mix 악화, ESS Line 추가 가동 초기 비용 부담으로 영업손실 -1,220억원 기록. 북미 생산 보조금은 EV 물량 감소로 전분기 대비 감소한 3,328억원.",25_4Q_LGES_business_performance_F_KR.pdf,6
LGES,2025,연간,전사,"선제적인 북미 LFP Capa 확대로 견조한 ESS 매출 성장이 있었으나 주요 고객사 전기차 판매 둔화로 전사 매출은 감소. 수익성 중심 제품 Mix 운영, 염가 소재 발굴 등 재료비율 개선, 안정적 북미 판매로 보조금 확대되며 전년대비 수익성 개선. 재고 감축 및 생산현지화 기반 SCM 개선으로 운전자본 효율성 제고. 원통형 46시리즈 300GWh 이상, ESS 140GWh 수주잔고 확보.",25_4Q_LGES_business_performance_F_KR.pdf,5
LGES,2026,1Q,전사,"매출: 북미 주요 고객사 재고 조정으로 EV향 파우치 물량은 감소했으나 안정적 EV향 원통형 출하와 북미 ESS Capa 확장을 통한 고객 수요 대응으로 전분기 대비 매출 소폭 증가. 북미 생산 보조금은 ESS 생산 확대에도 EV 물량 감소로 1,898억원 기록. 영업이익: 원통형/ESS 출하 확대 및 지속적 원가 절감에도, ESS 생산거점 확대에 따른 초기 Ramp-up 비용 부담과 북미 EV 파우치 물량 감소에 따른 제품 Mix 악화로 적자 기록.",26_1Q_LGES_business_performance_F_KR.pdf,5
SK온,2025,1Q,배터리합계,전기차 시장 불확실성에도 불구 미국 중심의 Global 판매량 증가로 영업손익 개선(영업손실 축소: -359.4→-299.3십억원). 2Q 전망: 美 관세 정책發 시장 둔화 우려에도 북미 현대차向 판매량 증가로 성장 기대,SK이노베이션_실적발표_1Q25 국문_F.pdf,13
SK온,2025,2Q,배터리합계,"북미 공장 가동률 확대 등을 통해 美 수요 증가에 적시 대응, SK온 통합법인(합병법인 기준) 흑자 전환(60.9십억원). 배터리사업(연결) 기준도 적자폭 대폭 축소(-299.3→-66.4십억원). 3Q 전망: 美 정책 영향 불확실성 및 신규 SOP(양산개시) 초기 부담 우려",SK이노베이션_실적발표_2Q25 국문_F.pdf,13
SK온,2025,3Q,배터리합계,"OEM 하계 휴가 및 美 EV 구매보조금 폐지 영향 등으로 배터리 판매량이 감소하며 영업이익 하락(합병법인 기준 60.9→17.9십억원, 배터리사업 기준 -66.4→-124.8십억원). 4Q 전망: 美 수요 부진/신규 공장 초기 비용 부담으로 실적 둔화 전망되나 ESS 사업 강화로 포트폴리오 확대 추진",SK이노베이션_실적발표_3Q25 국문.pdf,13
SK온,2025,4Q,배터리합계,"美 EV 구매보조금 폐지 영향 지속 및 유럽 물량 확대에도 불구하고 북미 배터리 판매량 감소로 영업이익 큰 폭 하락(배터리사업 기준 -124.8→-441.4십억원, 영업이익률 -6.9%→-30.3%; 합병법인 기준 17.9→-189.7십억원). ※ 배터리 사업 페이지 자체에는 자산손상 등 일회성 항목이 금액으로 명시되어 있지 않음. 다만 전사 경영실적 현황 표(p.9)에서 연결 영업외손익이 -497.0(3Q25)→-4,657.3십억원(4Q25)으로 QoQ -4,160.3십억원 악화되며 세전이익이 -4,362.6십억원으로 급락 -> 규모상 대규모 일회성(손상 등으로 추정되는) 항목이 존재하는 것으로 보이나, 본 IR자료는 이를 배터리 부문 등 사업부별로 구분/명시하지 않음(자산손상이라는 표현 자체가 자료 내 어디에도 등장하지 않음, 전사 grep 결과 0건). 회사는 '26년 전망'에서 Portfolio Rebalancing 및 SK온 북미/중국 JV 구조 재편(BlueOval SK 테네시 공장 독자운영 전환 등, capacity 127→45GWh·가동 2025→2028로 축소 기재)을 언급, 정황상 관련 가능성은 있으나 원문에 인과관계나 금액이 명시되어 있지 않아 단정하지 않음",SK이노베이션_실적발표_4Q25 국문 (1).pdf,"9,16"
