report_id,date,house,origin_schema,legacy_row,series_id,market,application,system_type,geography_raw,geography,parent_geography,geography_level,metric,fy,period,value,value_prev,unit,value_type,series_class,subsegment_raw,basis,scope_note,source_owner,source_kind,extraction_method,value_precision,source_page
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,1,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2023,FY,545,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,2,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2024,FY,648,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,3,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2025,FY,791,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,4,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2026,FY,1029,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,5,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2027,FY,1216,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,6,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2028,FY,1456,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,7,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2029,FY,1704,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,8,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2030,FY,1937,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,9,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2031,FY,2174,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
2023-05-23_SK증권_산업,2023-05-23,SK증권,demand_forecasts,10,legacy_p60_0c54f7b67c,EV,전체,,글로벌,글로벌,,글로벌,판매대수,2032,FY,2478,,만대,추정,시장전체,,중국 제외 EV 출하량,,,원천불명,표,근사,60
