report_id,date,house,coverage,report_type,report_title,title_source,analyst,source_file,source_path,pages,source_exists
2023-05-23_SK증권_산업,2023-05-23,SK증권,산업,산업,배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지),파일명,박형우,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,142,Y
2023-07-06_대신증권_산업,2023-07-06,대신증권,산업,산업,K배터리 목표시총 400조,파일명,전창현,대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,120,Y
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,산업,산업,배터리 World War,파일명,이현욱,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,136,Y
2023-11-21_유진투자증권_산업,2023-11-21,유진투자증권,산업,산업,배터리 2024 OUTLOOK TREND SETTER,파일명,황성현,유진투자증권_전자장비와기기_배터리 2024 OUTLOOK TREND SETTER_20231121.pdf,inbox/유진투자증권_전자장비와기기_배터리 2024 OUTLOOK TREND SETTER_20231121.pdf,71,Y
2024-02-26_IBK투자증권_산업,2024-02-26,IBK투자증권,산업,산업,역대급 북미 배터리 설계사,파일명,이현욱,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,inbox/IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,116,Y
2024-05-20_유진투자증권_산업,2024-05-20,유진투자증권,산업,산업,"산업재 D(ata)PT - 「나트륨이온배터리, 게임체인저가 될 것인가」",파일명,황성현,"유진투자증권_복합유틸리티_산업재 D(ata)PT - 「나트륨이온배터리, 게임체인저가 될 것인가」_20240520.pdf","inbox/유진투자증권_복합유틸리티_산업재 D(ata)PT - 「나트륨이온배터리, 게임체인저가 될 것인가」_20240520.pdf",102,Y
2024-10-21_상상인증권_산업,2024-10-21,상상인증권,산업,산업,2025년 연간 전망 완성차와 배터리에 기대할 수 있는 것,파일명,유민기,상상인증권_자동차_2025년 연간 전망 완성차와 배터리에 기대할 수 있는 것_20241021.pdf,inbox/상상인증권_자동차_2025년 연간 전망 완성차와 배터리에 기대할 수 있는 것_20241021.pdf,74,Y
2025-02-03_흥국증권_산업,2025-02-03,흥국증권,산업,산업,2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵),파일명,정진수,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,inbox/흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,46,Y
2025-03-21_삼성증권_산업,2025-03-21,삼성증권,산업,산업,"Beyond Chasm 로봇의 심장, 배터리",파일명,"임은영, 장정훈, 조현렬 (EV/모빌리티팀)","삼성증권_자동차_Beyond Chasm 로봇의 심장, 배터리_20250321.pdf","inbox/삼성증권_자동차_Beyond Chasm 로봇의 심장, 배터리_20250321.pdf",79,Y
2025-04-02_유안타증권_산업,2025-04-02,유안타증권,산업,산업,파고들다 II. 46시리즈와 전고체 배터리,파일명,이안나,유안타증권_전자장비와기기_파고들다 II. 46시리즈와 전고체 배터리_20250402.pdf,inbox/유안타증권_전자장비와기기_파고들다 II. 46시리즈와 전고체 배터리_20250402.pdf,60,Y
2025-05-16_하나증권_산업,2025-05-16,하나증권,산업,산업,배터리 징비록,파일명,김현수,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,inbox/하나증권_전자장비와기기_배터리 징비록_20250516.pdf,57,Y
2025-06-10_SK증권_산업,2025-06-10,SK증권,산업,산업,"K-배터리, 네 가지 위기와 미래 승부수",파일명,"박형우, 권민규","SK증권_전자장비와기기_K-배터리, 네 가지 위기와 미래 승부수_20250610.pdf","inbox/SK증권_전자장비와기기_K-배터리, 네 가지 위기와 미래 승부수_20250610.pdf",64,Y
2025-07-25_iM증권_산업,2025-07-25,iM증권,산업,산업,미국 ESS 산업 구조 변화의 시작(한국 배터리 산업의 제2의 서막),파일명,정원석,iM증권_전자장비와기기_미국 ESS 산업 구조 변화의 시작(한국 배터리 산업의 제2의 서막)_20250725.pdf,inbox/iM증권_전자장비와기기_미국 ESS 산업 구조 변화의 시작(한국 배터리 산업의 제2의 서막)_20250725.pdf,20,Y
2025-10-23_삼성증권_산업,2025-10-23,삼성증권,산업,산업,2차전지 산업 분석 11편 - AI 데이터센터와 배터리,파일명,"장정훈, 조현열",삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,inbox/삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,39,Y
2025-11-19_다올투자증권_산업,2025-11-19,다올투자증권,산업,산업,AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리,파일명,유지웅,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,inbox/다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,45,Y
2025-11-24_SK증권_산업,2025-11-24,SK증권,산업,산업,[2026년 연간전망] ESS 배터리의 빛과 그림자,파일명,박형우,SK증권_전자제품_[2026년 연간전망] ESS 배터리의 빛과 그림자_20251124.pdf,inbox/SK증권_전자제품_[2026년 연간전망] ESS 배터리의 빛과 그림자_20251124.pdf,25,Y
2025-11-24_유진투자증권_산업,2025-11-24,유진투자증권,산업,산업,2026 연간전망 2026년 희망의 K배터리 밸류체인,파일명,한병화,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,inbox/유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,73,Y
2026-01-29_상상인증권_SK온,2026-01-29,상상인증권,SK온,기업,"배터리사업 부진, 그러나 개선 준비 중",파일명,백영찬,"상상인증권_SK이노베이션_배터리사업 부진, 그러나 개선 준비 중_20260129.pdf","inbox/상상인증권_SK이노베이션_배터리사업 부진, 그러나 개선 준비 중_20260129.pdf",4,Y
2026-02-23_하나증권_SK온,2026-02-23,하나증권,SK온,기업,더 이상 정유 Up-Cycle에서 소외되지 않는다,파일명,윤재성,하나증권_SK이노베이션_더 이상 정유 Up-Cycle에서 소외되지 않는다_20260223.pdf,inbox/하나증권_SK이노베이션_더 이상 정유 Up-Cycle에서 소외되지 않는다_20260223.pdf,5,Y
2026-02-26_KB증권_LGES,2026-02-26,KB증권,LGES,기업,2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것,파일명,전우제,KB증권_LG에너지솔루션_2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것_20260226.pdf,inbox/KB증권_LG에너지솔루션_2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것_20260226.pdf,9,Y
2026-03-11_삼성증권_LGES,2026-03-11,삼성증권,LGES,기업,1등은 로봇도 잘한다,파일명,조현렬,삼성증권_LG에너지솔루션_1등은 로봇도 잘한다_20260311.pdf,inbox/삼성증권_LG에너지솔루션_1등은 로봇도 잘한다_20260311.pdf,6,Y
