source_group,source_file,source_ids,page,page_count,legacy_covered,priority,selection_reason,candidate_type,markets,companies,ownership_signals,applications,geographies,metrics,company_metrics,units,risk_flags,score,visual_review_status
actuals,25_4Q_LGES_business_performance_F_KR.pdf,LGES,11,17,N,P1,정량키워드,시장·회사,EV|ESS,,JV,Grid/Utility|UPS,글로벌|북미|유럽|중국,수요|CAPA,CAPA,%|GWH,수주·계약,15,대기
inbox,"DS투자증권_LG에너지솔루션_지연된 물량, 채워지는 수주_20260731.pdf",2026-07-31_DS투자증권_LGES,1,4,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,데이터센터,북미,출하량|생산량|YoY,출하량|생산량,%|GWH,수주·계약,15,보류
inbox,KB증권_LG에너지솔루션_상반기 바닥 확인_20260730.pdf,2026-07-30_KB증권_LGES,1,8,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,Grid/Utility,북미|미국|유럽,판매량|출하량|수요|성장률|YoY|CAPA,판매량|출하량|CAPA,%|GWH,수주·계약,15,채택
inbox,LS증권_LG에너지솔루션_낮아지는 눈높이_20260512.pdf,2026-05-12_LS증권_LGES,1,4,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Panasonic|Tesla,JV,Grid/Utility,북미|미국|유럽|중국,판매량|수요|CAPA,판매량|CAPA,%|GWH,수주·계약,15,대기
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,1,14,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,데이터센터|UPS,글로벌|미국|중국,판매량|수요|YoY|CAPA,판매량|CAPA,%|GWH,,15,채택
inbox,iM증권_LG에너지솔루션_1Q26 저점으로 ESS 중심 실적 회복세 전망_20260408.pdf,2026-04-08_iM증권_LGES,1,6,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,데이터센터|Grid/Utility,미국|유럽|중국,판매량|출하량|생산능력|수요|용량|YoY,판매량|출하량|생산능력,%|GWH,수주·계약,15,대기
inbox,삼성증권_삼성SDI_연간 턴어라운드 기대 유효_20260311.pdf,2026-03-11_삼성증권_삼성SDI,1,4,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,데이터센터,북미,출하량|수요,출하량,%|GWH,수주·계약,15,대기
inbox,삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,2025-10-23_삼성증권_산업,18,39,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온|Tesla,JV,데이터센터|Grid/Utility|상업·산업용(C&I)|UPS,북미|미국|중국|한국,수요|용량|캐파,캐파,%|GWH|MWH,,15,대기
inbox,유진투자증권_LG에너지솔루션_ESS + 4680이 견인하는 실적_20260506.pdf,2026-05-06_유진투자증권_LGES,3,11,N,P1,정량키워드,시장·회사,EV|ESS,,JV,데이터센터|Grid/Utility,북미|유럽|중국,수요|CAPA,CAPA,%|GWH,수주·계약,15,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,27,46,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,데이터센터,글로벌|북미|미국|유럽|중국,수요|용량|YoY|CAPA,CAPA,%|GWH,,15,대기
