house,market,coverage,selected_report_id,date,report_title,candidate_pages,age_days,freshness,selection_basis
BNK투자증권,ESS,SK온,2026-07-03_BNK투자증권_SK온,2026-07-03,윤활유 최대 실적으로 SK온 실적 및 현금흐름 개선,1,28,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
BNK투자증권,EV,SK온,2026-07-03_BNK투자증권_SK온,2026-07-03,윤활유 최대 실적으로 SK온 실적 및 현금흐름 개선,1,28,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DB증권,ESS,LGES,2026-07-31_DB증권_LGES,2026-07-31,하반기 수주 모멘텀 집중으로 섹터 대장 확인,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DB증권,ESS,삼성SDI,2026-04-01_DB증권_삼성SDI,2026-04-01,1Q26 컨센서스 상회 전망,1,121,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DB증권,EV,LGES,2026-07-31_DB증권_LGES,2026-07-31,하반기 수주 모멘텀 집중으로 섹터 대장 확인,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DB증권,EV,삼성SDI,2026-04-01_DB증권_삼성SDI,2026-04-01,1Q26 컨센서스 상회 전망,1,121,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DS투자증권,ESS,LGES,2026-05-04_DS투자증권_LGES,2026-05-04,소형전지에 관심 필요,1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
DS투자증권,EV,LGES,2026-05-04_DS투자증권_LGES,2026-05-04,소형전지에 관심 필요,1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
IBK투자증권,ESS,LGES,2026-07-31_IBK투자증권_LGES,2026-07-31,90 - 20 = 70,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
IBK투자증권,ESS,삼성SDI,2026-07-31_IBK투자증권_삼성SDI,2026-07-31,ESS가 좋은 날,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
IBK투자증권,EV,LGES,2026-07-31_IBK투자증권_LGES,2026-07-31,90 - 20 = 70,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
IBK투자증권,EV,SK온,2026-07-31_IBK투자증권_SK온,2026-07-31,윤활기유가 이끈 어닝 서프라이즈,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
IBK투자증권,EV,삼성SDI,2026-07-31_IBK투자증권_삼성SDI,2026-07-31,ESS가 좋은 날,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
KB증권,ESS,LGES,2026-07-30_KB증권_LGES,2026-07-30,상반기 바닥 확인,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
KB증권,ESS,SK온,2026-07-30_KB증권_SK온,2026-07-30,정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
KB증권,EV,LGES,2026-07-30_KB증권_LGES,2026-07-30,상반기 바닥 확인,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
KB증권,EV,SK온,2026-07-30_KB증권_SK온,2026-07-30,정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,ESS,LGES,2026-06-02_LS증권_LGES,2026-06-02,"4월 EV향 data, DTE 수주 및 미국 ESS",2,59,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,ESS,SK온,2026-06-15_LS증권_SK온,2026-06-15,업데이트 노트,1,46,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,ESS,삼성SDI,2026-07-31_LS증권_삼성SDI,2026-07-31,2Q26 Review,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,EV,LGES,2026-06-02_LS증권_LGES,2026-06-02,"4월 EV향 data, DTE 수주 및 미국 ESS",1,59,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,EV,SK온,2026-07-31_LS증권_SK온,2026-07-31,2Q26 Review,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
LS증권,EV,삼성SDI,2026-07-31_LS증권_삼성SDI,2026-07-31,2Q26 Review,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
NH투자증권,ESS,삼성SDI,2026-03-23_NH투자증권_삼성SDI,2026-03-23,적자폭 축소 기대,1,130,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
NH투자증권,EV,삼성SDI,2026-03-23_NH투자증권_삼성SDI,2026-03-23,적자폭 축소 기대,1,130,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
SK증권,ESS,삼성SDI,2026-06-09_SK증권_삼성SDI,2026-06-09,"저점은 지났다, 회복의 축은 ESS소형",1,52,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
SK증권,EV,삼성SDI,2026-06-09_SK증권_삼성SDI,2026-06-09,"저점은 지났다, 회복의 축은 ESS소형",1,52,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
iM증권,ESS,LGES,2026-07-31_iM증권_LGES,2026-07-31,하반기에도 ESS 중심 실적 개선세 지속,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
iM증권,ESS,SK온,2026-05-14_iM증권_SK온,2026-05-14,국내 정유사들 중에서 차별화되는 포인트 2가지,1,78,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
