reclassification,decision_reason,house,coverage,report_date,report_title,source_group,source_file,source_ids,page,page_count,candidate_type,markets,applications,geographies,metrics,units,risk_flags,score,latest_reference_ids,unique_application_signals,selection_anchor_date,age_days,freshness
최신 유효,BNK투자증권·SK온의 2026년 최신 ESS/EV 자료,BNK투자증권,SK온,2026-07-03,윤활유 최대 실적으로 SK온 실적 및 현금흐름 개선,inbox,BNK투자증권_SK이노베이션_윤활유 최대 실적으로 SK온 실적 및 현금흐름 개선_20260703.pdf,2026-07-03_BNK투자증권_SK온,1,7,시장,EV|ESS,,북미|유럽,출하량|점유율,%,수주·계약,13,2026-07-03_BNK투자증권_SK온,,2026-07-31,28,최근 1년
최신 유효,DB증권·삼성SDI의 2026년 최신 ESS/EV 자료,DB증권,삼성SDI,2026-04-01,1Q26 컨센서스 상회 전망,inbox,DB증권_삼성SDI_1Q26 컨센서스 상회 전망_20260401.pdf,2026-04-01_DB증권_삼성SDI,1,4,시장·회사,EV|ESS,,미국|유럽,출하량|YoY,%|GWH,,14,2026-04-01_DB증권_삼성SDI,,2026-07-31,121,최근 1년
최신 유효,DB증권·LGES의 2026년 최신 ESS/EV 자료,DB증권,LGES,2026-07-31,하반기 수주 모멘텀 집중으로 섹터 대장 확인,inbox,DB증권_LG에너지솔루션_하반기 수주 모멘텀 집중으로 섹터 대장 확인_20260731.pdf,2026-07-31_DB증권_LGES,1,3,시장,EV|ESS,,미국|유럽,점유율|YoY|CAPA,%,수주·계약,13,2026-07-31_DB증권_LGES,,2026-07-31,0,최근 1년
최신 유효,DS투자증권·LGES의 2026년 최신 ESS/EV 자료,DS투자증권,LGES,2026-05-04,소형전지에 관심 필요,inbox,DS투자증권_LG에너지솔루션_소형전지에 관심 필요_20260504.pdf,2026-05-04_DS투자증권_LGES,1,4,시장·회사,EV|ESS,,글로벌|북미,생산량|YoY,%|GWH,수주·계약,14,2026-05-04_DS투자증권_LGES,,2026-07-31,88,최근 1년
최신 유효,IBK투자증권·LGES의 2026년 최신 ESS/EV 자료,IBK투자증권,LGES,2026-07-31,90 - 20 = 70,inbox,IBK투자증권_LG에너지솔루션_90 - 20 = 70_20260731.pdf,2026-07-31_IBK투자증권_LGES,1,6,시장·회사,EV|ESS,,글로벌|미국|유럽|중국|한국,생산량|YoY|CAPA,%|GWH,수주·계약,13,2026-07-31_IBK투자증권_LGES,,2026-07-31,0,최근 1년
최신 유효,IBK투자증권·SK온의 2026년 최신 EV 자료,IBK투자증권,SK온,2026-07-31,윤활기유가 이끈 어닝 서프라이즈,inbox,IBK투자증권_SK이노베이션_윤활기유가 이끈 어닝 서프라이즈_20260731.pdf,2026-07-31_IBK투자증권_SK온,2,4,시장,EV,상업·산업용(C&I),,생산량|생산능력|수요,%,,12,2026-07-31_IBK투자증권_SK온,,2026-07-31,0,최근 1년
최신 유효,IBK투자증권·삼성SDI의 2026년 최신 ESS/EV 자료,IBK투자증권,삼성SDI,2026-07-31,ESS가 좋은 날,inbox,IBK투자증권_삼성SDI_ESS가 좋은 날_20260731.pdf,2026-07-31_IBK투자증권_삼성SDI,1,5,시장·회사,EV|ESS,,북미|유럽|중국,출하량|CAPA,%|GWH,,13,2026-07-31_IBK투자증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,KB증권·LGES의 2026년 최신 ESS/EV 자료,KB증권,LGES,2026-07-30,상반기 바닥 확인,inbox,KB증권_LG에너지솔루션_상반기 바닥 확인_20260730.pdf,2026-07-30_KB증권_LGES,1,8,시장·회사,EV|ESS,Grid/Utility,북미|미국|유럽,판매량|출하량|수요|성장률|YoY|CAPA,%|GWH,수주·계약,15,2026-07-30_KB증권_LGES,,2026-07-31,1,최근 1년
최신 유효,KB증권·SK온의 2026년 최신 ESS/EV 자료,KB증권,SK온,2026-07-30,정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다,inbox,KB증권_SK이노베이션_정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다_20260731.pdf,2026-07-30_KB증권_SK온,1,10,시장·회사,EV|ESS,,글로벌|미국|한국,생산량,%|GW,,13,2026-07-30_KB증권_SK온,,2026-07-31,1,최근 1년
최신 유효,LS증권·LGES의 2026년 최신 ESS/EV 자료,LS증권,LGES,2026-06-02,"4월 EV향 data, DTE 수주 및 미국 ESS",inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,9,18,시장·회사,ESS,데이터센터,글로벌|미국|중국|한국,출하량|수요,%|GWH,수주·계약,14,2026-06-02_LS증권_LGES,,2026-07-31,59,최근 1년
