source_group,source_file,source_ids,page_count,text_extracted_pages,candidate_pages,requires_ocr,error
inbox,BNK투자증권_SK이노베이션_2026년 연간OP 약 10조원 예상_20260731.pdf,2026-07-31_BNK투자증권_SK온,6,6,0,N,
inbox,BNK투자증권_SK이노베이션_윤활유 최대 실적으로 SK온 실적 및 현금흐름 개선_20260703.pdf,2026-07-03_BNK투자증권_SK온,7,7,1,N,
inbox,DB증권_LG에너지솔루션_1Q26 잠정실적 AMPC가 매출로_20260408.pdf,2026-04-08_DB증권_LGES,3,3,3,N,
inbox,DB증권_LG에너지솔루션_원통형 전지 활약에 주목_20260504.pdf,2026-05-04_DB증권_LGES,4,4,3,N,
inbox,DB증권_LG에너지솔루션_하반기 수주 모멘텀 집중으로 섹터 대장 확인_20260731.pdf,2026-07-31_DB증권_LGES,3,3,3,N,
inbox,DB증권_SK이노베이션_실적 추가 상향 대비_20260731.pdf,2026-07-31_DB증권_SK온,3,3,2,N,
inbox,DB증권_삼성SDI_1Q26 컨센서스 상회 전망_20260401.pdf,2026-04-01_DB증권_삼성SDI,4,4,3,N,
inbox,"DB증권_삼성SDI_하반기 흑자 지속, ESS 증설 가능성_20260731.pdf",2026-07-31_DB증권_삼성SDI,4,4,3,N,
inbox,DS투자증권_LG에너지솔루션_소형전지에 관심 필요_20260504.pdf,2026-05-04_DS투자증권_LGES,4,4,1,N,
inbox,"DS투자증권_LG에너지솔루션_지연된 물량, 채워지는 수주_20260731.pdf",2026-07-31_DS투자증권_LGES,4,4,1,N,
inbox,IBK투자증권_LG에너지솔루션_1Q26 잠정 실적 코멘트_20260408.pdf,2026-04-08_IBK투자증권_LGES,2,2,2,N,
inbox,IBK투자증권_LG에너지솔루션_90 - 20 = 70_20260731.pdf,2026-07-31_IBK투자증권_LGES,6,6,3,N,
inbox,IBK투자증권_LG에너지솔루션_매 분기 성장 예정_20260504.pdf,2026-05-04_IBK투자증권_LGES,6,6,3,N,
inbox,IBK투자증권_SK이노베이션_공급 충격의 누적이 시작됐다_20260504.pdf,2026-05-04_IBK투자증권_SK온,4,4,1,N,
inbox,"IBK투자증권_SK이노베이션_올해 1분기 영업이익, 2조원 상회_20260514.pdf",2026-05-14_IBK투자증권_SK온,4,4,1,N,
inbox,IBK투자증권_SK이노베이션_윤활기유가 이끈 어닝 서프라이즈_20260731.pdf,2026-07-31_IBK투자증권_SK온,4,4,2,N,
inbox,IBK투자증권_삼성SDI_ESS가 좋은 날_20260731.pdf,2026-07-31_IBK투자증권_삼성SDI,5,5,2,N,
inbox,IBK투자증권_삼성SDI_이제 호재가 터질 시기_20260402.pdf,2026-04-02_IBK투자증권_삼성SDI,5,5,2,N,
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,136,135,74,N,
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,116,115,52,N,
inbox,iM증권_LG에너지솔루션_1Q26 저점으로 ESS 중심 실적 회복세 전망_20260408.pdf,2026-04-08_iM증권_LGES,6,6,3,N,
inbox,iM증권_LG에너지솔루션_ESS 수주가 다 찼다_20260511.pdf,2026-05-11_iM증권_LGES,6,6,3,N,
inbox,iM증권_LG에너지솔루션_ESS의 가파른 성장세 본격화_20260630.pdf,2026-06-30_iM증권_LGES,7,7,3,N,
inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,6,6,3,N,
inbox,iM증권_SK이노베이션_국내 정유사들 중에서 차별화되는 포인트 2가지_20260514.pdf,2026-05-14_iM증권_SK온,8,8,2,N,
inbox,iM증권_SK이노베이션_두 번의 전쟁으로 완전히 꼬여 버린 에너지 수급_20260731.pdf,2026-07-31_iM증권_SK온,8,8,1,N,
inbox,iM증권_SK이노베이션_미국 TerraPower 방문 후기  중장기 SMR 경쟁력에 대한 소고_20260616.pdf,2026-06-16_iM증권_SK온,8,8,1,N,
inbox,iM증권_SK이노베이션_전 사업부에서 누리는 고유가 + ESS 확대 기회_20260511.pdf,2026-05-11_iM증권_SK온,9,9,2,N,
inbox,iM증권_삼성SDI_AIDC향 ESS의 중장기적인 성장성 확보_20260511.pdf,2026-05-11_iM증권_삼성SDI,6,6,2,N,
inbox,iM증권_삼성SDI_ESS로의 사업 전환 가속화 전망_20260731.pdf,2026-07-31_iM증권_삼성SDI,6,6,3,N,
inbox,"iM증권_삼성SDI_밸류에이션 부담 완화, 비중 확대 시점_20260630.pdf",2026-06-30_iM증권_삼성SDI,6,6,3,N,
inbox,iM증권_전자장비와기기_미국 ESS 산업 구조 변화의 시작(한국 배터리 산업의 제2의 서막)_20250725.pdf,2025-07-25_iM증권_산업,20,20,12,N,
inbox,KB증권_LG에너지솔루션_1~5월 국내 EV 판매 +122% YoY 급등은 긍정적_20260618.pdf,2026-06-18_KB증권_LGES,9,9,6,N,
inbox,KB증권_LG에너지솔루션_2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것_20260226.pdf,2026-02-26_KB증권_LGES,9,9,4,N,
inbox,KB증권_LG에너지솔루션_상반기 바닥 확인_20260730.pdf,2026-07-30_KB증권_LGES,8,8,4,N,
inbox,"KB증권_LG에너지솔루션_투자포인트 ③ EV 정상화, ④ 2027년 FCF 흑자전환 시작_20260604.pdf",2026-06-04_KB증권_LGES,10,10,4,N,
inbox,"KB증권_SK이노베이션_국내 EV 판매 호조로, 배터리 판매량 +5~10% 추가 예상_20260618.pdf",2026-06-18_KB증권_SK온,12,12,6,N,
inbox,KB증권_SK이노베이션_정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다_20260731.pdf,2026-07-30_KB증권_SK온,10,10,2,N,
